tenure_years,department,role_level,overtime_hours_monthly,absence_rate,leave_utilization_rate,months_since_promotion,salary_percentile_in_dept,job_satisfaction,attrited
8.41,Sales,2,1.9,0.0077,0.4384,6.5,42.6,4,0
8.18,Engineering,3,6.0,0.0107,0.7919,22.1,61.6,3,0
8.35,Marketing,2,19.2,0.0704,0.8069,2.7,99.9,4,0
0.98,Finance,2,1.6,0.1153,0.6748,6.7,43.6,4,0
0.3,HR,1,9.1,0.0433,0.2675,9.9,57.3,5,1
5.08,Operations,2,14.7,0.0513,0.9694,28.6,84.3,3,1
4.93,Sales,2,9.7,0.0209,0.8083,25.6,71.0,5,0
10.94,Finance,1,7.2,0.0654,0.5209,14.3,91.1,3,0
0.28,Marketing,1,4.6,0.0217,0.4559,8.4,63.9,4,0
3.66,Finance,2,7.9,0.0217,0.7799,1.8,93.8,3,0
0.25,Sales,1,1.4,0.0187,0.6795,17.9,64.1,5,0
3.81,Marketing,3,21.6,0.0387,0.6698,11.0,12.8,3,1
6.06,Marketing,1,9.5,0.0558,0.5888,2.1,34.4,2,0
1.35,Engineering,2,11.5,0.0391,0.4786,4.6,46.4,5,0
4.31,Engineering,1,4.7,0.1052,0.661,26.2,80.1,3,0
0.54,Marketing,2,9.5,0.0106,0.6622,3.0,29.7,5,0
0.32,Engineering,2,10.7,0.0574,0.8158,20.1,49.3,5,0
1.1,Operations,2,6.9,0.0727,0.5048,27.5,22.4,4,0
3.15,Engineering,2,7.2,0.1032,0.6252,17.4,37.4,3,1
1.45,Operations,2,2.7,0.0103,0.8326,6.5,28.0,1,0
4.37,Marketing,1,26.3,0.0318,0.9688,5.4,94.0,3,0
0.78,HR,2,4.7,0.0336,0.6008,5.6,90.4,5,0
6.43,Sales,2,5.2,0.0368,0.7799,2.6,73.0,3,0
4.29,HR,3,22.5,0.0264,0.4375,11.5,12.3,2,1
2.3,Marketing,2,11.9,0.035,0.5443,9.6,94.2,1,0
1.46,Marketing,3,13.6,0.0389,0.6752,9.3,15.7,4,0
1.59,Sales,2,2.5,0.0242,0.4126,16.3,5.5,4,0
0.27,Finance,1,9.4,0.0414,0.442,2.2,4.4,4,0
0.63,Operations,1,2.5,0.0686,0.7374,5.4,28.0,5,0
2.4,Sales,1,4.1,0.0048,0.3141,18.7,16.1,2,1
1.36,Marketing,2,28.8,0.0672,0.5196,45.7,17.1,3,1
4.42,Sales,3,3.5,0.1167,0.7233,21.6,28.4,4,0
2.48,Operations,3,13.1,0.0434,0.6375,47.3,88.2,2,1
0.83,Sales,2,3.8,0.0284,0.8002,35.7,90.5,3,1
1.61,Sales,1,4.2,0.0696,0.3121,60.0,90.6,4,1
2.25,HR,4,40.4,0.0317,0.5435,33.3,78.2,1,1
1.2,HR,1,7.7,0.0432,0.6821,12.5,66.0,5,0
1.13,Sales,2,2.3,0.0454,0.366,33.6,58.9,4,0
3.08,Finance,4,13.5,0.0332,0.6854,16.6,99.4,3,0
1.04,Engineering,2,18.9,0.0265,0.2939,41.7,31.2,3,1
4.67,Operations,1,14.4,0.0331,0.331,7.5,73.4,2,1
4.87,Engineering,1,7.2,0.0483,0.5042,11.1,6.5,1,1
3.79,HR,2,7.4,0.0326,0.9436,0.6,8.8,4,0
0.26,Operations,1,5.5,0.0015,0.5061,21.6,58.5,4,0
3.97,Engineering,3,3.1,0.0266,0.4115,3.1,85.7,2,0
4.74,Engineering,2,10.5,0.0358,0.757,47.0,90.2,3,0
3.93,Marketing,1,7.0,0.1029,0.3745,11.5,2.8,3,1
0.98,Engineering,1,2.6,0.0756,0.3496,0.4,28.4,1,1
1.12,Operations,3,7.9,0.031,0.606,31.9,85.5,3,0
0.58,HR,2,4.7,0.026,0.3443,19.9,55.1,3,0
1.24,Operations,3,10.1,0.0284,0.3199,14.7,16.6,5,0
0.07,Sales,2,9.4,0.0613,0.5924,27.7,45.7,2,0
0.59,Engineering,1,6.2,0.1477,0.5365,9.1,78.9,2,1
4.6,Operations,2,8.2,0.0266,0.9221,2.2,77.7,3,0
13.99,Marketing,2,8.7,0.0403,0.796,1.4,85.9,2,0
1.97,Operations,2,15.7,0.0844,0.5915,7.4,2.1,2,1
0.99,Sales,3,8.0,0.0416,0.4122,60.0,30.9,5,1
1.39,HR,4,5.6,0.0382,0.4214,39.3,30.3,5,0
1.26,Finance,3,6.7,0.0062,0.55,8.5,25.9,2,1
0.45,HR,2,25.0,0.0424,0.8977,9.2,43.7,3,0
3.79,Sales,2,3.9,0.0551,0.2679,5.2,41.4,5,0
4.82,HR,2,7.1,0.0258,0.2811,15.3,40.0,3,0
5.28,Finance,1,7.0,0.1146,0.7151,2.7,43.6,3,1
18.58,Engineering,3,7.2,0.0573,0.1602,6.4,31.2,2,0
7.37,HR,4,3.0,0.0269,0.4436,5.7,98.1,4,0
5.76,Sales,1,6.7,0.0358,0.4446,4.7,57.1,2,1
3.65,Engineering,4,5.3,0.0455,0.2419,2.7,46.4,4,0
2.07,Engineering,3,10.1,0.0065,0.357,5.7,24.0,5,0
0.16,HR,2,17.2,0.0441,0.9009,33.3,25.6,3,1
3.35,Engineering,4,10.7,0.0709,0.6262,21.0,75.9,5,0
2.17,HR,1,8.9,0.0114,0.2824,3.1,41.5,4,0
5.28,Finance,1,11.4,0.0795,0.8243,4.7,32.6,3,0
7.1,Operations,1,9.6,0.0759,0.8006,28.0,18.6,5,0
1.16,Engineering,2,8.1,0.0417,0.4029,7.2,99.4,5,0
0.17,HR,2,15.3,0.0291,0.2322,15.1,36.2,3,1
3.24,Engineering,4,6.6,0.0723,0.486,11.0,19.3,5,0
8.94,HR,1,3.0,0.0193,0.67,23.3,73.8,5,0
2.87,HR,1,5.2,0.0396,0.4112,6.0,90.3,3,0
7.46,Marketing,2,4.7,0.0626,0.6115,1.8,75.7,3,0
2.64,HR,1,29.5,0.0119,0.4931,3.7,37.2,1,1
4.6,Operations,3,17.9,0.0446,0.6617,36.0,73.3,1,1
1.01,Engineering,2,9.0,0.071,0.5521,2.8,31.9,2,1
0.47,Engineering,5,4.8,0.0311,0.7204,15.9,48.8,3,0
0.5,Engineering,3,15.2,0.0734,0.5763,9.5,10.2,5,1
0.41,HR,1,8.8,0.0391,0.5007,0.5,28.6,3,1
0.19,Sales,1,6.6,0.0152,0.6525,57.4,50.8,4,1
6.01,Engineering,1,8.8,0.0955,0.875,14.4,7.3,5,1
1.57,Sales,5,6.7,0.0402,0.9195,16.3,73.4,4,0
1.35,Operations,3,11.3,0.0186,0.4856,32.2,41.3,5,0
3.27,Marketing,2,2.7,0.111,0.5899,5.2,53.0,3,0
0.66,Engineering,1,11.3,0.1174,0.9584,13.1,46.0,3,1
6.71,Operations,4,6.7,0.0644,0.6385,60.0,71.1,4,1
4.52,Sales,1,15.4,0.032,0.7058,13.8,63.6,4,1
1.15,HR,3,18.2,0.0298,0.3196,26.6,70.5,4,1
0.7,Sales,3,20.8,0.0643,0.3709,18.7,23.2,3,1
1.86,HR,1,30.9,0.0578,0.7737,4.1,62.8,3,1
1.07,Marketing,2,20.3,0.0547,0.8358,60.0,52.1,3,1
0.27,Marketing,1,15.1,0.0286,0.4875,8.8,7.4,5,0
1.76,Finance,2,3.1,0.0404,0.7311,25.9,5.6,5,0
7.88,Finance,5,0.7,0.0659,0.8159,16.5,58.1,2,0
3.53,Marketing,3,16.5,0.0108,0.3325,21.6,58.4,4,0
10.79,Sales,3,4.1,0.0407,0.8843,6.1,77.3,3,0
7.16,HR,2,45.0,0.0217,0.3451,19.6,76.5,4,1
3.91,Engineering,1,2.1,0.0683,0.841,5.8,45.6,3,0
6.48,Marketing,3,14.6,0.0801,0.7818,6.9,42.9,3,0
2.54,HR,2,9.5,0.0198,0.748,6.0,38.9,3,0
3.74,Finance,1,2.3,0.0476,0.4219,2.0,94.3,5,0
1.33,Finance,2,9.5,0.0152,0.4924,37.3,68.9,3,1
0.77,Sales,2,4.5,0.0275,0.6224,49.0,34.9,5,1
7.51,Engineering,3,7.8,0.0506,0.7385,0.0,70.3,2,1
0.49,Operations,1,7.8,0.0279,0.5615,3.4,54.0,2,1
0.66,Sales,4,4.6,0.0289,0.2736,28.3,57.6,2,1
1.09,Engineering,2,6.2,0.0273,0.5102,0.1,91.5,3,0
3.39,Sales,1,4.2,0.0132,0.5796,60.0,60.6,4,0
1.45,Operations,1,1.5,0.1207,0.4072,42.1,90.6,3,0
2.4,Sales,3,8.9,0.0375,0.8182,11.0,53.0,3,0
7.56,Operations,2,20.3,0.0823,0.8306,1.1,76.6,5,0
5.4,HR,2,4.5,0.0142,0.5994,3.0,52.8,5,0
4.1,Operations,1,27.1,0.0462,0.5627,60.0,56.6,3,1
0.6,Finance,3,30.9,0.0075,0.3449,14.6,43.0,4,1
4.16,Engineering,3,5.8,0.0748,0.2195,17.2,65.7,2,1
1.59,Finance,1,7.0,0.0587,0.411,34.2,6.8,3,0
0.43,HR,4,5.9,0.0108,0.8088,36.4,68.3,5,0
1.4,Sales,1,3.1,0.0364,0.6365,22.0,52.2,5,0
0.25,Finance,1,7.0,0.0466,0.2851,8.5,72.5,5,0
3.2,Engineering,2,6.4,0.0179,0.7355,12.7,1.1,4,0
3.4,Marketing,3,8.8,0.0395,0.8351,11.0,29.1,5,0
1.03,Marketing,1,9.2,0.129,0.2597,23.8,56.7,2,1
0.16,Engineering,2,2.9,0.035,0.7348,1.0,46.4,3,0
9.55,HR,1,12.7,0.0475,0.4171,27.8,10.9,4,1
2.83,Finance,2,6.9,0.0501,0.246,55.7,5.4,4,1
5.21,Engineering,3,3.5,0.0446,0.7903,7.2,40.4,3,0
1.23,HR,5,6.8,0.0109,0.8559,27.0,41.6,4,0
5.87,Sales,2,9.4,0.0212,0.7233,0.7,38.0,3,0
5.74,Engineering,2,22.8,0.0493,0.8565,52.0,93.9,4,1
0.33,Marketing,2,20.4,0.0339,0.6672,7.4,20.6,3,1
19.01,HR,1,5.4,0.1217,0.8634,10.2,71.6,4,0
2.36,Marketing,1,7.3,0.0715,0.399,17.3,18.2,5,0
4.89,Finance,5,4.1,0.0173,0.3059,6.8,4.5,5,0
0.85,Operations,1,10.6,0.1327,0.755,9.7,62.1,5,1
3.44,Operations,3,5.7,0.0586,0.1756,11.0,84.3,3,0
1.0,Finance,1,7.1,0.0054,0.498,5.0,33.0,3,0
5.65,HR,3,16.9,0.0393,0.8983,0.2,54.3,4,1
1.62,HR,1,2.9,0.099,0.9106,5.5,63.0,4,0
2.73,Marketing,5,20.5,0.016,0.5456,8.2,66.9,4,1
1.85,HR,3,11.3,0.0312,0.8223,27.3,60.4,3,0
2.64,Finance,1,19.8,0.0949,0.4448,0.6,89.7,3,1
1.65,Sales,3,14.0,0.0701,0.4636,12.0,18.3,4,1
2.15,Operations,2,15.8,0.0273,0.3465,2.2,74.1,1,1
0.1,Finance,1,8.5,0.0212,0.7059,11.8,94.7,2,0
5.56,Sales,1,3.4,0.118,0.708,7.2,35.0,5,1
8.78,Finance,3,5.1,0.0077,0.8744,0.2,77.8,5,0
2.03,HR,3,4.3,0.0934,0.533,22.7,61.4,2,0
11.91,Engineering,1,1.1,0.0338,0.6194,20.3,27.6,5,0
0.59,Operations,4,16.8,0.0723,0.2946,6.2,40.5,5,0
9.75,Operations,1,7.8,0.0562,0.6935,12.0,87.7,2,1
1.28,Operations,1,4.0,0.0537,0.806,32.7,48.1,2,0
2.34,HR,2,30.1,0.037,0.6753,18.2,29.3,3,1
8.53,Sales,1,38.7,0.1026,0.3971,29.8,99.6,4,1
0.44,Engineering,1,2.6,0.0851,0.3917,18.4,30.2,3,1
0.67,Marketing,2,7.0,0.0165,0.3175,42.8,4.2,5,1
4.7,Sales,1,6.6,0.1104,0.3507,1.2,19.9,2,1
3.44,Operations,1,3.8,0.0381,0.8449,10.4,96.6,2,0
1.01,Operations,3,16.6,0.0378,0.6677,28.6,31.1,4,1
1.55,Engineering,2,1.1,0.0563,0.4152,15.0,86.1,4,0
2.62,Operations,3,25.1,0.0461,0.8131,24.2,87.2,3,1
6.65,Engineering,2,8.8,0.0389,0.5112,13.9,2.2,5,1
1.25,HR,2,28.4,0.0073,0.8687,50.7,73.4,2,1
2.68,HR,1,8.2,0.0683,0.9199,12.8,54.3,3,1
1.24,Operations,3,6.6,0.0297,0.4619,3.9,62.5,5,0
1.07,Finance,1,17.5,0.0565,0.8271,58.8,43.7,5,1
7.47,Operations,1,28.3,0.0446,0.6773,5.4,12.5,3,1
1.95,Finance,3,25.3,0.0099,0.2171,21.4,13.9,3,1
4.69,Marketing,3,1.8,0.0603,0.456,1.4,2.6,1,1
1.06,Operations,2,21.1,0.056,0.5173,1.5,26.1,2,1
0.65,Operations,1,6.4,0.0299,0.5877,45.9,65.5,1,0
4.0,HR,1,7.6,0.0526,0.3875,10.8,28.1,4,1
4.96,HR,2,6.3,0.1526,0.5549,53.2,38.0,5,1
3.33,Operations,3,5.1,0.0147,0.9931,10.8,58.9,2,0
4.16,Marketing,2,7.1,0.0537,0.7139,18.8,63.5,5,0
3.57,Operations,1,3.7,0.021,0.3525,22.3,86.1,3,0
3.82,Finance,1,21.1,0.005,0.4954,16.8,36.0,1,1
7.89,Operations,2,13.9,0.0234,0.4595,4.1,72.9,2,1
9.88,Marketing,3,10.0,0.0204,0.6222,4.7,34.5,3,0
2.32,Marketing,1,6.3,0.0853,0.5483,13.5,71.1,2,1
0.32,Sales,1,5.4,0.0293,0.8317,4.0,93.2,4,0
4.91,Finance,1,11.6,0.0496,0.9092,56.2,33.6,2,0
2.96,Marketing,1,10.3,0.0333,0.6027,20.8,49.5,4,0
8.54,Marketing,2,18.3,0.0248,0.3395,0.8,24.9,2,1
3.66,Operations,1,5.5,0.0812,0.8869,2.9,52.3,4,0
0.49,Sales,2,5.1,0.0147,0.7351,39.7,51.8,4,0
3.67,Sales,3,13.5,0.0666,0.9553,13.1,81.2,5,0
2.0,Operations,5,15.6,0.0575,0.4234,14.6,78.1,4,0
0.4,Operations,4,36.8,0.0706,0.6148,21.9,41.4,4,1
0.96,Sales,1,1.7,0.0796,0.2628,52.2,17.2,5,1
12.17,HR,1,21.9,0.0118,0.693,5.4,25.3,5,1
1.41,Operations,1,9.4,0.0677,0.6707,12.7,50.2,5,0
0.9,Sales,3,5.7,0.072,0.3232,12.4,97.0,2,0
1.55,Marketing,1,11.8,0.051,0.7493,2.3,67.9,4,0
7.24,Engineering,2,11.5,0.0074,0.3072,14.2,26.8,4,0
3.81,Sales,1,5.9,0.0127,0.5741,15.5,99.2,5,0
0.69,Marketing,1,1.8,0.0251,0.8591,8.2,83.6,4,0
0.03,Finance,3,22.0,0.1291,0.8772,0.4,44.3,2,1
1.53,Finance,3,4.7,0.1096,0.6497,20.4,68.4,3,1
0.53,Operations,2,4.1,0.0587,0.6004,3.5,11.5,3,1
7.24,Sales,4,5.1,0.0424,0.4661,24.0,98.3,4,0
0.37,Finance,1,15.0,0.0713,0.5219,35.6,16.1,3,1
2.39,Finance,1,6.5,0.0764,0.8311,1.6,85.3,5,0
3.56,Marketing,2,5.2,0.0583,0.9511,13.1,47.7,5,0
10.05,Sales,3,11.2,0.106,0.4844,60.0,74.8,4,0
1.02,Finance,2,10.1,0.0612,0.6398,60.0,32.9,3,1
6.08,HR,1,5.3,0.0706,0.6566,7.8,50.9,4,0
2.67,Finance,5,1.8,0.036,0.7752,60.0,59.6,5,0
6.06,Operations,1,14.8,0.1555,0.7317,33.8,41.3,4,1
1.25,HR,2,10.2,0.0594,0.8875,50.8,46.6,4,1
1.16,Marketing,2,1.2,0.0033,0.9013,33.8,97.6,2,0
0.88,Operations,4,24.1,0.1203,0.5307,17.1,45.3,3,1
3.65,Marketing,3,1.2,0.0755,0.7866,13.4,16.1,4,0
2.27,Operations,5,4.4,0.0042,0.5136,6.5,48.6,5,0
3.03,Finance,1,4.6,0.0705,0.5606,4.7,90.5,4,0
4.49,Sales,2,5.3,0.0823,0.8859,41.4,25.3,3,1
4.04,Operations,3,5.2,0.0264,0.3806,0.5,30.5,4,0
3.66,Finance,2,2.8,0.0381,0.2996,28.4,26.9,3,0
4.9,Sales,2,9.5,0.1611,0.3544,1.1,37.2,3,1
0.12,Sales,5,16.5,0.0464,0.8256,15.0,47.2,3,1
5.27,Sales,1,9.4,0.0859,0.8518,15.7,33.5,4,0
4.55,Operations,2,10.6,0.0069,0.2016,23.6,18.6,5,0
1.54,Engineering,4,6.6,0.0051,0.4319,22.8,34.0,3,1
0.84,Marketing,4,9.2,0.0394,0.6831,25.4,41.5,2,0
2.49,Finance,5,11.2,0.0213,0.3501,16.8,49.0,4,0
7.09,Engineering,4,13.9,0.0641,0.3911,25.5,65.5,5,0
1.14,Finance,1,4.8,0.0193,0.6953,60.0,73.9,2,0
5.02,Marketing,4,4.3,0.0498,0.6789,18.3,82.6,3,0
10.39,Marketing,2,0.8,0.0507,0.5401,23.2,25.1,1,0
1.4,Finance,3,28.8,0.0679,0.4933,29.9,61.5,4,1
15.06,HR,2,27.6,0.0864,0.7013,8.2,18.4,3,1
0.21,Engineering,3,8.0,0.0158,0.7133,27.2,62.0,3,0
